id,domain_url,organization,resource_count,center_lat,center_long,center_zoom,address
146,data.sfgov.org,"City and County of San Francisco, CA",NULL,37.776682,-122.418174,NULL,"1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102"
147,data.smcgov.org,"County of San Mateo, CA",NULL,37.488000,-122.230720,NULL,"555 County Center, Redwood City, CA 94063"
148,data.smgov.net,"City of Santa Monica, CA",NULL,34.011700,-118.492240,NULL,"1685 Main St, Santa Monica, CA 90401"
149,data.snhd.org,"Southern Nevada Health District, NV",NULL,36.173056,-115.062239,NULL,"70 N Nellis Blvd, Las Vegas, NV 89110"
150,data.somervillema.gov,"City of Somerville, MA",NULL,42.387196,-71.098192,NULL,"93 Highland Ave, Somerville, MA 02143"
151,data.sonomacounty.ca.gov,"Sonoma County, CA",NULL,38.465735,-122.725217,NULL,"585 Fiscal Dr # 103F, Santa Rosa, CA 95403"
152,data.srcity.org,"City of Santa Rosa, CA",NULL,38.437785,-122.711174,NULL,"100 Santa Rosa Ave, Santa Rosa, CA 95404"
153,data.strathcona.ca,"Strathcona County, Canada",NULL,53.525583,-113.296887,NULL,"2001 Sherwood Dr, Sherwood Park, AB T8A 4W3, Canada"
154,data.sunlightlabs.com,"Sunlight Foundation",NULL,38.898129,-77.032883,NULL,"1440 G Street NW Washington, DC 20005"
155,data.sunshinecoast.qld.gov.au,"Sunshine Coast Council",NULL,-26.654814,153.092894,NULL,"10 First Ave, Maroochydore QLD 4558, Australia"
156,data.sustainablesm.org,"Santa Monica Office of Sustainability and the Environment",NULL,34.011120,-118.488823,NULL,"1717 4th St #100, Santa Monica, CA 90401"
157,data.texas.gov,"State of Texas",NULL,30.272318,-97.738823,NULL,"1100 San Jacinto Blvd, Austin, TX 78701"
158,data.tol.ca,"Township of Langley Canada",NULL,49.085280,-122.601480,NULL,"Langley, BC, V2Z 1N4, Canada"
159,data.tompsc.com,"Town of Mount Pleasant Municipal Complex",NULL,32.800826,-79.888074,NULL,"100 Ann Edwards Ln, Mt Pleasant, SC 29464"
160,data.topeka.org,"City of Topeka, KS",NULL,39.049026,-95.672044,NULL,"215 SE 7th St, Topeka, KS 66603"
161,data.transportation.gov,"U.S. Department of Transportation",NULL,38.875898,-77.003290,NULL,"1200 New Jersey Ave, SE Washington, DC 20590"
162,data.tuscaloosa.com,"City of Tuscaloosa, AL",NULL,33.209720,-87.565810,NULL,"2230 6th St, Tuscaloosa, AL 35403"
163,data.urbanaillinois.us,"City of Urbana, IL",NULL,40.110071,-88.204447,NULL,"400 S Vine St, Urbana, IL 61801"
164,data.vbgov.com,"City of Virginia Beach, VA",NULL,36.750431,-76.056388,NULL,"2401 Courthouse Dr, Virginia Beach, VA 23456"
165,data.vermont.gov,"State of Vermont",NULL,44.256580,-72.567590,NULL,"109 State St, Montpelier, VT 05609"
166,data.vta.org,"Santa Clara Valley Transportation Authority (VTA), CA",NULL,37.400110,-121.939970,NULL,"3331 N 1st St bldg b, San Jose, CA 95134"
167,data.wa.gov,"State of Washington",NULL,46.978110,-122.702390,NULL,"416 14th Ave SW, Olympia, WA 98504"
168,data.waterpointdata.org,"Water Point Data Exchange (WPDx)",NULL,33.990911,-118.248596,NULL,na
169,data.weho.org,"City of West Hollywood, CA",NULL,34.090313,-118.370644,NULL,"8300 Santa Monica Blvd, West Hollywood, CA 90069"
170,data.winnipeg.ca,"City of Winnipeg, Canada",NULL,49.899790,-97.138449,NULL,"510 Main St, Winnipeg, MB R3B 1B9, Canada"
171,datacatalog.cookcountyil.gov,"Cook County, IL",NULL,41.883819,-87.631210,NULL,"118 N Clark St, Chicago, IL 60602"
172,datadiscovery.nlm.nih.gov,"National Library of Medicine (NLM)",NULL,38.995310,-77.096640,NULL,"8600 Rockville Pike, Bethesda, MD 20894"
173,datapoints.dallascityhall.com,"City of Dallas, TX",NULL,32.776250,-96.798320,NULL,"1500 Marilla St, Dallas, TX 75201"
174,debtwatch.treasury.ri.gov,"State of Rhode Island",NULL,41.831106,-71.414945,NULL,"82 Smith St, Providence, RI 02903"
175,eda.data.commerce.gov,"U.S. Economic Development Administration",NULL,38.892647,-77.032818,NULL,"1401 Constitution Ave NW, Washington, DC 20230"
176,electionsdata.kingcounty.gov,"King County, WA",NULL,47.602903,-122.329270,NULL,"500 4th Ave #430, Seattle, WA 98104"
177,esa.data.commerce.gov,"U.S. Economics & Statistics Administration",NULL,38.595000,-77.236600,NULL,"washington dc "
178,finances.worldbank.org,"World Bank",NULL,38.898945,-77.042568,NULL,"1818 H St NW, Washington, DC 20433"
